z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_H2,y_H2,x_C2H4,y_C2H4,x_CH4,y_CH4,x_C2H6,y_C2H6,x_C3H8,y_C3H8
0.00125,4240000.0,799806.7710874577,0.0022914154673270883,3.5276126842064513e-06,0.005353695333203483,0.025525417228885627,0.06647589228672847,0.07509664166004373,0.5716413594118007,0.6169174490671753,0.24674567365259553,0.19835839987287557,0.1097833793156718,0.08410209217096701
0.00375,4240000.0,799806.6663508553,0.0022949430800112947,7.056317983740977e-06,0.005384701776300601,0.025659009992269593,0.06648914344973184,0.07509477748267616,0.5717109543876198,0.6168745604590622,0.24667129640018076,0.19829786328319685,0.10974390398616692,0.08407378878277243
0.00625,4240000.0,799806.5092180764,0.0022984717853108292,1.0586129629529262e-05,0.005416032734040845,0.02579387314102039,0.06650235230028906,0.07509280633691894,0.5717802255279966,0.6168308152364197,0.24659693867235027,0.198237108259213,0.10970445076532312,0.08404539702641645
0.00875,4240000.0,799806.2996702252,0.0023020015969566175,1.4117061601202126e-05,0.005447692823131486,0.02593002311180876,0.0665155185707686,0.0750907269479781,0.5718491704914628,0.6167862029775452,0.24652259910648064,0.198176131473893,0.10966501900815646,0.0840169154887547
0.01125,4240000.0,799806.0376881671,0.0023055325289282904,1.7649128132176967e-05,0.005479686740018344,0.026067476599204612,0.06652864198775028,0.07508853802067864,0.5719177868877081,0.6167407130949697,0.24644827632235805,0.1981149295497283,0.109625608062165,0.08398834273542619
0.01375,4240000.0,799805.7232525236,0.0023090645954592652,2.118234371485759e-05,0.0055120192624623044,0.026206250560275375,0.06654172227191574,0.07508623823909016,0.5719860722766542,0.6166943348323388,0.24637396892180435,0.1980534990578433,0.1095862172671634,0.08395967731047164
0.01625,4240000.0,799805.3563436688,0.002312597811041946,2.4716723105946362e-05,0.005544695251150251,0.026346362219287836,0.0665547591379362,0.07508382626616963,0.5720540241675045,0.6166470572614854,0.2462996754882951,0.19799183651711635,0.10954684595511406,0.08393091773595343
0.01875,4240000.0,799804.9369417246,0.0023161321904330346,2.825228133188258e-05,0.0055777196513412605,0.026487829072493307,0.06656775229435798,0.07508130074337566,0.5721216400177762,0.6165988692793691,0.24622539458657006,0.19792993839321452,0.10950749344995463,0.08390206251156164
0.02125,4240000.0,799804.4650265564,0.002319667748658971,3.178903369440572e-05,0.005611097494548888,0.02663066889300732,0.0665807014434853,0.07507866029028194,0.5721889172323091,0.6165497596048604,0.2461511247622348,0.19786780109763566,0.10946815906742201,0.08387311011420905
0.02375,4240000.0,799803.9405777685,0.002323204501021494,3.532699577624143e-05,0.005644833900260403,0.026774899735790073,0.06659360628126054,0.07507590350418962,0.5722558531622524,0.6164997167756427,0.246076864541354,0.1978054209867577,0.10942884211487253,0.08384405899762551
0.02625,4240000.0,799803.3635746994,0.0023267424631033297,3.88661834469263e-05,0.005678934077693863,0.026920539942715673,0.0666064664971418,0.07507302895971565,0.5723224451040297,0.6164487291448344,0.2460026124300362,0.1977427943608213,0.1093895418910984,0.08381490759192767
0.02875,4240000.0,799802.7339964171,0.0023302816507740146,4.240661286875882e-05,0.005713403327593876,0.02706760814774917,0.06661928177397763,0.0750700352083904,0.5723886902982795,0.6163967848777389,0.2459283669140092,0.19767991746292718,0.10935025768613997,0.08378565430320001
0.03125,4240000.0,799802.0518217145,0.002333822080195847,4.594830050289045e-05,0.005748247044067041,0.02721612328222133,0.06663205178787909,0.07506692077824442,0.572454585928773,0.6163438719484543,0.2458541264581866,0.19761678647800868,0.10931098878109437,0.08375629751306937
0.03375,4240000.0,799801.3170291036,0.0023373637678299787,4.9491263115558886e-05,0.005783470716457962,0.027366104580206087,0.06664477620808897,0.07506368417337521,0.5725201291213078,0.6162899781363929,0.24577988950622523,0.19755339753177972,0.10927173444791997,0.08372683557824909
0.03625,4240000.0,799800.5295968116,0.002340906730442647,5.3035517784465365e-05,0.005819079931266801,0.027517571584004967,0.06665745469684779,0.07506032387351493,0.5725853169425764,0.6162350910227302,0.2457056544800725,0.1974897466896552,0.10923249394923645,0.08369726683009418
0.03875,4240000.0,799799.689502775,0.0023444509851115536,5.658108190529764e-05,0.005855080374109399,0.02767054414974,0.06667008690925706,0.07505683833359118,0.5726501463990085,0.6161791979868676,0.2456314197795042,0.19742582995566108,0.10919326653812077,0.08366758957414389
0.04125,4240000.0,799798.7967246342,0.002347996549232386,6.012797319840998e-05,0.005891477831720956,0.027825042453054026,0.06668267249313942,0.0750532259832704,0.5727146144355888,0.6161222862027075,0.24555718378165214,0.19736164327132633,0.10915405145789875,0.08363780208964144
0.04375,4240000.0,799797.851239729,0.0023515434405254982,6.367620971564928e-05,0.005928278194004302,0.027981086994928343,0.06669521108889537,0.07504948522650358,0.5727787179346466,0.6160643426349542,0.24548294484052186,0.1972971825145414,0.10911484794193184,0.08360790262906938
0.04625,4240000.0,799796.853025092,0.0023550916770427375,6.722580984735039e-05,0.005965487456123877,0.02813869860760964,0.06670770232935715,0.07504561444105348,0.5728424537146196,0.6160053540352914,0.2454087012864994,0.1972324434983958,0.10907565521339986,0.0835778894176546
0.04875,4240000.0,799795.8020574439,0.0023586412771744386,7.077679232949264e-05,0.006003111720646448,0.02829789846065583,0.06672014583963899,0.07504161197801316,0.5729058185287887,0.6159453069384663,0.24533445142584734,0.19716742196999837,0.10903647248507856,0.08354776065286906
0.05125,4240000.0,799794.6983131871,0.002362192259656581,7.432917625101784e-05,0.006041157199729741,0.028458708067103516,0.06673254123698405,0.07503747616132415,0.5729688090639842,0.6158841876583669,0.24526019354018985,0.1971021136092802,0.1089972989591123,0.08351751450393041
0.05375,4240000.0,799793.5417684005,0.002365744643578106,7.788298106132857e-05,0.006079630217360125,0.028621149289753962,0.06674488813060797,0.07503320528727317,0.5730314219392629,0.6158219822839389,0.24518592588598678,0.1970365140277603,0.1089581338267823,0.08348714911127512
0.05625,4240000.0,799792.3323988327,0.002369298448388417,8.14382265779557e-05,0.0061185372116405205,0.028785244347586645,0.06675718612153878,0.07502879762398802,0.573093653704556,0.6157586766750893,0.24511164669399563,0.19697061876729186,0.10891897626826913,0.08345666258604344
0.05875,4240000.0,799791.0701798968,0.002372853693905044,8.499493299441146e-05,0.006157884737129781,0.028951015822297282,0.06676943480245318,0.07502425141091822,0.5731555008392843,0.615694256458462,0.24503735416872188,0.19690442329879554,0.10887982545241076,0.08342605300953235
0.06125,4240000.0,799789.7550866634,0.0023764104003214997,8.855312088822858e-05,0.006197679467234726,0.029118486664965405,0.06678163375750909,0.07501956485830506,0.5732169597509442,0.6156287070231369,0.24496304648785758,0.19683792302094125,0.10884068053645458,0.08339531843264927
0.06375,4240000.0,799788.387093855,0.002379968588215317,9.211281122918202e-05,0.006237928196656154,0.02928768020285741,0.06679378256217433,0.07501473614664603,0.5732780267736587,0.6155620135162942,0.2448887218017064,0.19677111325883961,0.10880154066580436,0.08336445687536165
