z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_N2,y_N2,x_O2,y_O2,x_CO2,y_CO2,x_H2O,y_H2O
0.0025,990066.7957156196,100000.0,0.0005448187856051693,1.7909792876860935e-06,0.9428238279141387,0.804319428643103,0.05717094394611346,0.19564883556434176,5.228139747826277e-06,3.1735792567133336e-05,5.647609725664642e-22,5.387528778526303e-21
0.0075,990102.7267286498,100000.0,0.0005466097648928554,3.5848941216376756e-06,0.9423700151096849,0.8035035320206512,0.05762466989764179,0.1964643658803182,5.314992673283726e-06,3.210209904876014e-05,5.8056288062693675e-22,5.532839954285117e-21
0.0125,990138.7764261115,100000.0,0.000548403679726807,5.381766734026037e-06,0.941913096406972,0.8026848033401036,0.05808149977922436,0.19728272198206878,5.403813803790017e-06,3.2474677818909725e-05,5.972371170486952e-22,5.685890236653011e-21
0.0175,990174.9450171589,100000.0,0.0005502005523391954,7.181619433683476e-06,0.9414530631313973,0.801863248921617,0.05854144221783144,0.19810389742986834,5.494650771097536e-06,3.285364852852396e-05,6.1485311259964475e-22,5.847274593297127e-21
0.0225,990211.2327125492,100000.0,0.0005520004050388528,8.984474605313241e-06,0.9409899067353947,0.8010388752599742,0.05900450571227576,0.1989278856069373,5.587552329617567e-06,3.323913308760156e-05,6.334873759006553e-22,6.017646634073808e-21
0.0275,990247.6397246474,100000.0,0.0005538032602104826,1.0790354708683754e-05,0.9405236188000704,0.8002116890249404,0.05947069863154902,0.19975467971936,5.682568380541729e-06,3.3631255703762055e-05,6.532243606889348e-22,6.1977255650289406e-21
0.0325,990284.1662674317,100000.0,0.0005556091403138531,1.2599282277814803e-05,0.9400541910368381,0.7993816970611746,0.059940029213165553,0.2005842727959127,5.779749996396518e-06,3.403014292130827e-05,6.741574558204869e-22,6.3883040956839024e-21
0.0375,990320.812556498,100000.0,0.0005574180678829841,1.4411279920148999e-05,0.939581615289041,0.7985489063883425,0.060412505561513084,0.20141665768799433,5.879149446036124e-06,3.4435923660824385e-05,6.963901175345217e-22,6.5902574466080075e-21
0.0425,990357.5788090653,100000.0,0.0005592300655253183,1.6226370315711408e-05,0.9391058835335685,0.7977133242011747,0.06088813564621138,0.2022518270695662,5.980820220078862e-06,3.484872925929481e-05,7.200371669243518e-22,6.804553629262312e-21
0.0475,990394.4652439803,100000.0,0.0005610451559208807,1.8044576216258565e-05,0.9386269878824639,0.7968749578694007,0.061366927300479275,0.20308977343709508,6.084817056792376e-06,3.526869351074762e-05,7.452262796318403e-22,7.032265199716832e-21
0.0525,990431.4720817221,100000.0,0.0005628633618214279,1.9865920444414576e-05,0.9381449205845218,0.7960338149377513,0.06184888821950997,0.2039304891095443,6.191195968432837e-06,3.569595270743137e-05,7.720996996389401e-22,7.274582722986315e-21
0.0575,990468.5995444072,100000.0,0.0005646847060495839,2.169042589279498e-05,0.9376596740268764,0.795189903125937,0.06233402595885559,0.2047739662283842,6.300014268043352e-06,3.613064568152556e-05,8.008162148317627e-22,7.532830226513737e-21
0.0625,990505.8478557938,100000.0,0.0005665092114979643,2.3518115523119758e-05,0.9371712407365823,0.7943432303285313,0.06282234793282103,0.20562019675762414,6.411330596716772e-06,3.657291384738545e-05,8.315534389571888e-22,7.808482971100116e-21
0.0675,990543.2172412865,100000.0,0.0005683369011282891,2.5349012365314316e-05,0.9366796133821811,0.7934938046148832,0.06331386141286766,0.20646917248387275,6.5252049513280386e-06,3.7022901244326894e-05,8.645104529198855e-22,8.103187926970424e-21
0.0725,990580.707927941,100000.0,0.0005701677979704836,2.718313951659778e-05,0.93618478477526,0.7926416342289911,0.06380857352602723,0.2073208850164299,6.641698712741263e-06,3.748075457995394e-05,8.999108683732721e-22,8.418787413662387e-21
