z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_fast,y_fast,x_mid,y_mid,x_slow,y_slow
0.071,1000000.0,166107.41397810195,0.0010340656937536383,7.671102022393692e-05,7.164520342489597e-07,3.7050113660578905e-06,0.042350862641731275,0.15135639763879255,0.9576484209062346,0.8486398973498398
0.073,1000000.0,166099.29109101318,0.0010362484030158109,7.889707817256215e-05,7.257030726319935e-07,3.746924360941914e-06,0.042628261320805674,0.15202461329551598,0.9573710129761216,0.8479716397801222
0.075,1000000.0,166090.94236935402,0.001038434460964436,8.108651889484665e-05,7.351593780409451e-07,3.7896698214251093e-06,0.042907919094558745,0.15269652662787533,0.9570913457460631,0.847299683702304
0.077,1000000.0,166082.36742688794,0.0010406239016867206,8.327937678843705e-05,7.448268106958622e-07,3.833269239112686e-06,0.04318985346720688,0.15337215293699094,0.9568094017059825,0.8466240137937703
0.079,1000000.0,166073.56587279928,0.001042816759580311,8.547568656354203e-05,7.547114239507641e-07,3.877744751205212e-06,0.04347408203170128,0.154051507464895,0.9565251632568749,0.8459446147903541
0.081,1000000.0,166064.53731165428,0.001045013069355416,8.767548324505471e-05,7.648194712697848e-07,3.9231191618560785e-06,0.043760622469202044,0.15473460539207085,0.9562386127113267,0.8452614714887666
0.083,1000000.0,166055.2813433617,0.0010472128660369286,8.987880217467428e-05,7.751574134709184e-07,3.969415964281307e-06,0.0440494925485282,0.15542146183496192,0.9559497322940583,0.8445745687490739
0.085,1000000.0,166045.79756313347,0.0010494161849665482,9.208567901302538e-05,7.857319262480262e-07,4.016659363649371e-06,0.0443407101255832,0.15611209184345418,0.9556585041424905,0.8438838914971808
0.087,1000000.0,166036.0855614444,0.0010516230618048993,9.429614974177595e-05,7.965499079822135e-07,4.0648743007795034e-06,0.04463429314275568,0.1568065103983293,0.9553649103073363,0.843189424727369
0.089,1000000.0,166026.14492399213,0.0010538335325336499,9.651025066575601e-05,8.076184878541164e-07,4.114086476678075e-06,0.044930259628294944,0.15750473240868346,0.9550689327532171,0.8424911535048386
0.091,1000000.0,166015.97523165643,0.00105604763345763,9.872801841506902e-05,8.189450342691233e-07,4.1643223779441455e-06,0.04522862769566075,0.15820677270932682,0.9547705533593049,0.841789062968294
0.093,1000000.0,166005.57606045817,0.001058265401206943,0.0001009494899472035,8.305371636080419e-07,4.215609303075735e-06,0.04552941554284732,0.1589126460581482,0.954469753919989,0.8410831383325476
0.095,1000000.0,165994.94698151806,0.0010604868727390774,0.00010317470254914151,8.42402749316229e-07,4.26797538971007e-06,0.04583264145168084,0.15962236713345132,0.9541665161455698,0.8403733648911595
0.097,1000000.0,165984.08756101492,0.0010627120853410154,0.0001054036938394643,8.545499313447306e-07,4.321449642832143e-06,0.04613832378709019,0.1603359505312621,0.9538608216629786,0.8396597280190938
0.099,1000000.0,165972.99736014375,0.0010649410766313382,0.00010763650177044988,8.669871259575368e-07,4.3760619639873724e-06,0.046446480996350535,0.16105341076261231,0.9535526520165234,0.8389422131754231
0.101,1000000.0,165961.67593507332,0.0010671738845623238,0.00010987316463017106,8.797230359196302e-07,4.431843181535003e-06,0.04675713160829951,0.16177476225078957,0.9532419886686645,0.8382208059060284
0.103,1000000.0,165950.12283690344,0.001069410547422045,0.00011211372104458597,8.927666610810938e-07,4.488825081980861e-06,0.04707029423252536,0.16250001932856106,0.9529288130008136,0.8374954918463572
0.105,1000000.0,165938.33761162192,0.00107165110383646,0.00011435820997962338,9.061273093731805e-07,4.547040442429172e-06,0.04738598755852681,0.16322919623537088,0.9526131063141638,0.836766256724186
0.107,1000000.0,165926.3198000612,0.0010738955927714973,0.00011660667074326291,9.198146082328901e-07,4.606523064194655e-06,0.04770423035484431,0.1639623071145079,0.9522948498305475,0.8360330863624279
